40:1:1|1|genesews|G_1078
40:1:1|2|ihsou|G_2424
40:1:1|3|cristou|G_5547
40:1:1|4|uiou|G_5207
40:1:1|5|dabid|G_1138
40:1:1|6|uiou|G_5207
40:1:1|7|abraam|G_11
40:1:2|1|egennhse|G_1080
40:1:2|2|ton|G_3588
40:1:2|3|isaak|G_2464
40:1:2|4|isaak|G_2464
40:1:2|5|de|G_1161
40:1:2|6|egennhse|G_1080
40:1:2|7|ton|G_3588
40:1:2|8|iakwb|G_2384
40:1:2|9|iakwb|G_2384
40:1:2|10|de|G_1161
40:1:2|11|egennhse|G_1080
40:1:2|12|ton|G_3588
40:1:2|13|ioudan|G_2455
40:1:2|14|kai|G_2532
40:1:2|15|tous|G_3588
40:1:2|16|adelfous|G_80
40:1:2|17|autou|G_846
40:1:3|1|de|G_1161
40:1:3|2|egennhse|G_1080
40:1:3|3|ton|G_3588
40:1:3|4|fares|G_5329
40:1:3|5|kai|G_2532
40:1:3|6|ton|G_3588
40:1:3|7|zara|G_2196
40:1:3|8|ek|G_1537
40:1:3|9|ths|G_3588
40:1:3|10|qamar|G_2283
40:1:3|11|fares|G_5329
40:1:3|12|de|G_1161
40:1:3|13|egennhse|G_1080
40:1:3|14|ton|G_3588
40:1:3|15|esrwm|G_2074
40:1:3|16|esrwm|G_2074
40:1:3|17|de|G_1161
40:1:3|18|egennhse|G_1080
40:1:3|19|ton|G_3588
40:1:3|20|aram|G_689
40:1:4|1|de|G_1161
40:1:4|2|egennhse|G_1080
40:1:4|3|ton|G_3588
40:1:4|4|aminadab|G_284
40:1:4|5|aminadab|G_284
40:1:4|6|de|G_1161
40:1:4|7|egennhse|G_1080
40:1:4|8|ton|G_3588
40:1:4|9|naasswn|G_3476
40:1:4|10|naasswn|G_3476
40:1:4|11|de|G_1161
40:1:4|12|egennhse|G_1080
40:1:4|13|ton|G_3588
40:1:4|14|salmwn|G_4533
40:1:5|1|de|G_1161
40:1:5|2|egennhse|G_1080
40:1:5|3|ton|G_3588
40:1:5|4|booz|G_1003
40:1:5|5|ek|G_1537
40:1:5|6|ths|G_3588
40:1:5|7|racab|G_4477
40:1:5|8|booz|G_1003
40:1:5|9|de|G_1161
40:1:5|10|egennhse|G_1080
40:1:5|11|ton|G_3588
40:1:5|12|wbhd|G_5601
40:1:5|13|ek|G_1537
40:1:5|14|ths|G_3588
40:1:5|15|rouq|G_4503
40:1:5|16|wbhd|G_5601
40:1:5|17|de|G_1161
40:1:5|18|egennhse|G_1080
40:1:5|19|ton|G_3588
40:1:5|20|iessai|G_2421
40:1:6|1|de|G_1161
40:1:6|2|egennhse|G_1080
40:1:6|3|ton|G_3588
40:1:6|4|dabid|G_1138
40:1:6|5|ton|G_3588
40:1:6|6|basilea|G_935
40:1:6|7|dabid|G_1138
40:1:6|8|de|G_1161
40:1:6|9|o|G_3588
40:1:6|10|basileus|G_935
40:1:6|11|egennhse|G_1080
40:1:6|12|ton|G_3588
40:1:6|13|solomwnta|G_4672
40:1:6|14|ek|G_1537
40:1:6|15|ths|G_3588
40:1:6|16|tou|G_3588
40:1:6|17|ouriou|G_3774
40:1:7|1|de|G_1161
40:1:7|2|egennhse|G_1080
40:1:7|3|ton|G_3588
40:1:7|4|roboam|G_4497
40:1:7|5|roboam|G_4497
40:1:7|6|de|G_1161
40:1:7|7|egennhse|G_1080
40:1:7|8|ton|G_3588
40:1:7|9|abia|G_7
40:1:7|10|abia|G_7
40:1:7|11|de|G_1161
40:1:7|12|egennhse|G_1080
40:1:7|13|ton|G_3588
40:1:7|14|asa|G_760
40:1:8|1|de|G_1161
40:1:8|2|egennhse|G_1080
40:1:8|3|ton|G_3588
40:1:8|4|iwsafat|G_2498
40:1:8|5|iwsafat|G_2498
40:1:8|6|de|G_1161
40:1:8|7|egennhse|G_1080
40:1:8|8|ton|G_3588
40:1:8|9|iwram|G_2496
40:1:8|10|iwram|G_2496
40:1:8|11|de|G_1161
40:1:8|12|egennhse|G_1080
40:1:8|13|ton|G_3588
40:1:8|14|ozian|G_3604
40:1:9|1|de|G_1161
40:1:9|2|egennhse|G_1080
40:1:9|3|ton|G_3588
40:1:9|4|iwaqam|G_2488
40:1:9|5|iwaqam|G_2488
40:1:9|6|de|G_1161
40:1:9|7|egennhse|G_1080
40:1:9|8|ton|G_3588
40:1:9|9|acaz|G_881
40:1:9|10|acaz|G_881
40:1:9|11|de|G_1161
40:1:9|12|egennhse|G_1080
40:1:9|13|ton|G_3588
40:1:9|14|ezekian|G_1478
40:1:10|1|de|G_1161
40:1:10|2|egennhse|G_1080
40:1:10|3|ton|G_3588
40:1:10|4|manassh|G_3128
40:1:10|5|manasshs|G_3128
40:1:10|6|de|G_1161
40:1:10|7|egennhse|G_1080
40:1:10|8|ton|G_3588
40:1:10|9|amwn|G_300
40:1:10|10|amwn|G_300
40:1:10|11|de|G_1161
40:1:10|12|egennhse|G_1080
40:1:10|13|ton|G_3588
40:1:10|14|iwsian|G_2502
40:1:11|1|de|G_1161
